"p_success_curr","out_mean","out_lci","out_uci"
0,1.17344623269374,0.873747620281472,1.57922149648084
0.05,1.14739647464045,0.863277675982153,1.52832539790361
0.1,1.12192500460389,0.852625414914807,1.47960792950376
0.15,1.09701898495885,0.841765051344507,1.43302454042367
0.2,1.07266586306724,0.830668505532052,1.38853550159783
0.25,1.04885336495152,0.81930557326422,1.34610564493262
0.3,1.02556948910862,0.807644323515527,1.30570387765594
0.35,1.00280250046118,0.79565181320581,1.26730238275296
0.4,0.9805409244431,0.783295212291744,1.23087541213472
0.45,0.958773541216301,0.770543413374028,1.19639759824694
0.5,0.937489380015968,0.757369142106259,1.16384176772597
0.55,0.916677713621266,0.743751477423301,1.13317634798118
0.6,0.896328052948824,0.729678542899792,1.1043626052936
0.65,0.876430141766229,0.715149984958196,1.07735209861579
0.7,0.856973951522891,0.700178781656909,1.05208480525013
0.75,0.837949676295646,0.684791989149127,1.02848831122584
0.8,0.81934772784657,0.669030230622165,1.00647826147931
0.85,0.801158730790508,0.652945988216178,0.985960009256283
0.9,0.783373517869877,0.636600972663373,0.96683118991497
0.95,0.765983125334365,0.62006296121792,0.948984828483336
1,0.748978788423201,0.603402511918634,0.932312572854386
